DATE,BIVA VALUE,BIVA VOLUME,BIVA TRADES,BMV VALUE,BMV VOLUME,BMV TRADES,BIVA VALUE MARKET SHARE,BIVA VOLUME MARKET SHARE,BIVA TRADES MARKET SHARE,BMV VALUE MARKET SHARE,BMV VOLUME MARKET SHARE,BMV TRADES MARKET SHARE
09/11/2018,"1,590,299,988.03","4,877,493","7,600","35,780,876,223.86","489,362,139","801,717",4.26,0.99,0.94,95.74,99.01,99.06
12/11/2018,"2,704,193,964.81","6,975,514","5,845","23,608,906,333.75","276,181,998","486,454",10.28,50.00,1.19,89.72,50.00,98.81
13/11/2018,"1,058,333,296.96","9,442,511","8,158","32,341,117,954.29","358,881,211","616,087",3.17,2.56,1.31,96.83,97.44,98.69
14/11/2018,"527,593,568.11","6,088,857","8,744","20,244,863,344.46","340,004,656","617,125",2.54,1.76,1.40,97.46,98.24,98.60
15/11/2018,"413,037,884.31","5,538,124","9,305","30,529,322,566.14","305,692,814","575,751",1.33,1.78,1.59,98.67,98.22,98.41
16/11/2018,"289,031,474.43","3,541,124","10,503","17,826,501,828.81","336,223,532","720,139",1.60,1.04,1.44,98.40,98.96,98.56
20/11/2018,"363,285,995.25","5,229,026","8,049","19,027,419,372.60","281,732,372","607,662",1.87,1.82,1.31,98.13,98.18,98.69
21/11/2018,"396,062,919.15","5,739,232","6,464","18,412,260,706.27","283,064,087","574,875",2.11,1.99,1.11,97.89,98.01,98.89
22/11/2018,"8,745,060.59","335,760","1,705","3,407,119,651.03","89,018,584","224,701",0.26,0.38,0.75,99.74,99.62,99.25
23/11/2018,"495,349,174.74","2,116,097","8,432","7,035,543,143.16","151,877,866","363,336",6.58,1.37,2.27,93.42,98.63,97.73
26/11/2018,"373,248,985.15","4,766,546","7,742","20,005,583,449.60","414,029,976","698,916",1.83,1.14,1.10,98.17,98.86,98.90
27/11/2018,"302,160,647.96","4,423,590","7,023","16,746,232,800.40","352,961,844","670,674",1.77,1.24,1.04,98.23,98.76,98.96
28/11/2018,"549,459,926.40","8,692,338","11,480","20,120,081,262.09","453,481,574","780,346",2.66,1.88,1.45,97.34,98.12,98.55
29/11/2018,"336,241,364.45","4,023,757","5,217","15,549,715,478.26","378,781,468","613,538",2.12,1.05,0.84,97.88,98.95,99.16
30/11/2018,"358,764,962.69","7,006,461","8,441","27,496,893,147.43","577,942,395","880,100",1.29,1.20,0.95,98.71,98.80,99.05
03/12/2018,"925,212,866.12","9,514,840","4,165","19,439,305,480.75","353,878,947","622,179",4.54,2.62,0.66,95.46,97.38,99.34
04/12/2018,"581,557,864.76","8,044,323","6,793","18,719,291,170.38","403,747,708","593,953",3.01,1.95,1.13,96.99,98.05,98.87
05/12/2018,"45,666,040.55","498,413","3,241","4,185,630,388.01","150,503,069","324,326",1.08,0.33,0.99,98.92,99.67,99.01
06/12/2018,"753,378,521.98","7,560,663","9,284","17,397,842,828.70","288,187,596","566,333",4.15,2.56,1.61,95.85,97.44,98.39
07/12/2018,"853,289,037.85","5,272,855","6,213","18,221,614,407.12","259,218,394","494,741",4.47,1.99,1.24,95.53,98.01,98.76
10/12/2018,"1,379,402,919.86","21,430,208","6,437","34,910,089,297.61","344,306,645","394,553",3.80,5.86,1.61,96.20,94.14,98.39
11/12/2018,"410,203,174.57","8,122,769","7,251","15,106,622,797.50","237,657,386","552,385",2.64,3.30,1.30,97.36,96.70,98.70
13/12/2018,"2,527,174,631.96","10,341,384","7,023","17,224,171,192.69","309,022,072","622,587",12.79,3.24,1.12,87.21,96.76,98.88
14/12/2018,"718,922,441.06","4,430,666","3,665","18,692,777,562.26","211,994,638","494,000",3.70,2.05,0.74,96.30,97.95,99.26
17/12/2018,"6,309,071,891.66","13,039,031","4,813","15,316,610,736.53","234,847,426","480,029",29.17,5.26,0.99,70.83,94.74,99.01
18/12/2018,"2,637,527,571.31","11,612,050","9,034","14,789,464,485.01","295,469,742","551,452",15.13,3.78,1.61,84.87,96.22,98.39
19/12/2018,"1,395,799,287.80","4,646,993","8,260","16,967,118,134.70","348,672,845","642,707",7.60,1.32,1.27,92.40,98.68,98.73
20/12/2018,"1,752,339,110.24","8,895,246","5,343","14,645,467,309.73","262,876,749","455,669",10.69,3.27,1.16,89.31,96.73,98.84
21/12/2018,"351,963,846.69","3,480,964","5,484","25,161,880,104.83","574,706,589","487,946",1.38,0.60,1.11,98.62,99.40,98.89
24/12/2018,"159,648,141.19","814,131","1,956","3,916,768,124.39","56,208,232","95,603",3.92,1.43,2.00,96.08,98.57,98.00
